IATA_CODE,DOT_Code,Cities,State,DOT_Airport_Name,IATA_Airport_Name
MHT,13296,Manchester,NH,Manchester Boston Regional,Manchester-Boston Regional Airport
MIA,13303,Miami,FL,Miami International,Miami International Airport
MKE,13342,Milwaukee,WI,General Mitchell International,General Mitchell International Airport
MKG,13344,Muskegon,MI,Muskegon County,Muskegon County Airport
MLB,13360,Melbourne,FL,Melbourne Orlando International,Melbourne International Airport
MLI,13367,Moline,IL,Quad Cities International,Quad City International Airport
MLU,13377,Monroe,LA,Monroe Regional,Monroe Regional Airport
MOB,13422,Mobile,AL,Mobile Regional,Mobile Regional Airport
MOT,13433,Minot,ND,Minot International,Minot International Airport
MQT,13459,Marquette,MI,Marquette Sawyer Regional,Sawyer International Airport
MRY,13476,Monterey,CA,Monterey Regional,Monterey Regional Airport (Monterey Peninsula Airport)
MSN,13485,Madison,WI,Dane County Regional-Truax Field,Dane County Regional Airport
MSO,13486,Missoula,MT,Missoula Montana,Missoula International Airport
MSP,13487,Minneapolis,MN,Minneapolis-St Paul International,Minneapolis-Saint Paul International Airport
MSY,13495,New Orleans,LA,Louis Armstrong New Orleans International,Louis Armstrong New Orleans International Airport
MTJ,13502,Montrose/Delta,CO,Montrose Regional,Montrose Regional Airport
MVY,13541,Martha's Vineyard,MA,Martha's Vineyard Airport,Martha's Vineyard Airport
MYR,13577,Myrtle Beach,SC,Myrtle Beach International,Myrtle Beach International Airport
OAJ,13795,Jacksonville/Camp Lejeune,NC,Albert J Ellis,Albert J. Ellis Airport
OAK,13796,Oakland,CA,Oakland International,Oakland International Airport
OGG,13830,Kahului,HI,Kahului Airport,Kahului Airport
OKC,13851,Oklahoma City,OK,Okc Will Rogers International,Will Rogers World Airport
OMA,13871,Omaha,NE,Eppley Airfield,Eppley Airfield
OME,13873,Nome,AK,Nome Airport,Nome Airport
ONT,13891,Ontario,CA,Ontario International,Ontario International Airport
ORD,13930,Chicago,IL,Chicago O'Hare International,Chicago O'Hare International Airport
ORF,13931,Norfolk,VA,Norfolk International,Norfolk International Airport
ORH,13933,Worcester,MA,Worcester Regional,Worcester Regional Airport
OTH,13964,North Bend/Coos Bay,OR,Southwest Oregon Regional,Southwest Oregon Regional Airport (North Bend Municipal)
OTZ,13970,Kotzebue,AK,Ralph Wien Memorial,Ralph Wien Memorial Airport
PAH,14006,Paducah,KY,Barkley Regional,Barkley Regional Airport
PBG,14025,Plattsburgh,NY,Plattsburgh International,Plattsburgh International Airport
PBI,14027,West Palm Beach/Palm Beach,FL,Palm Beach International,Palm Beach International Airport
PDX,14057,Portland,OR,Portland International,Portland International Airport
PHF,14098,Newport News/Williamsburg,VA,Newport News/Williamsburg International,Newport News/Williamsburg International Airport
PHL,14100,Philadelphia,PA,Philadelphia International,Philadelphia International Airport
PHX,14107,Phoenix,AZ,Phoenix Sky Harbor International,Phoenix Sky Harbor International Airport
PIA,14108,Peoria,IL,General Downing - Peoria International,General Wayne A. Downing Peoria International Airport
PIB,14109,Hattiesburg/Laurel,MS,Hattiesburg-Laurel Regional,Hattiesburg-Laurel Regional Airport
PIH,14113,Pocatello,ID,Pocatello Regional,Pocatello Regional Airport
PIT,14122,Pittsburgh,PA,Pittsburgh International,Pittsburgh International Airport
PLN,14150,Pellston,MI,Pellston Regional Emmet County,Pellston Regional Airport of Emmet County
PNS,14193,Pensacola,FL,Pensacola International,Pensacola International Airport (Pensacola Gulf Coast Regional Airport)
PPG,14222,Pago Pago,TT,Pago Pago International,Pago Pago International Airport (Tafuna Airport)
PSC,14252,Pasco/Kennewick/Richland,WA,Tri Cities,Tri-Cities Airport
PSE,14254,Ponce,PR,Mercedita,Mercedita Airport
PSG,14256,Petersburg,AK,Petersburg James A Johnson,Petersburg James A. Johnson Airport
PSP,14262,Palm Springs,CA,Palm Springs International,Palm Springs International Airport
PVD,14307,Providence,RI,Rhode Island Tf Green International,Theodore Francis Green State Airport
PWM,14321,Portland,ME,Portland International Jetport,Portland International Jetport
RAP,14457,Rapid City,SD,Rapid City Regional,Rapid City Regional Airport
RDD,14487,Redding,CA,Redding Regional,Redding Municipal Airport
RDM,14489,Bend/Redmond,OR,Roberts Field,Redmond Municipal Airport (Roberts Field)
RDU,14492,Raleigh/Durham,NC,Raleigh-Durham International,Raleigh-Durham International Airport
RHI,14520,Rhinelander,WI,Rhinelander/Oneida County,Rhinelander-Oneida County Airport
RIC,14524,Richmond,VA,Richmond International,Richmond International Airport
RKS,14543,Rock Springs,WY,Southwest Wyoming Regional,Rock Springs-Sweetwater County Airport
RNO,14570,Reno,NV,Reno/Tahoe International,Reno/Tahoe International Airport
ROA,14574,Roanoke,VA,Roanoke Blacksburg Regional,Roanoke Regional Airport (Woodrum Field)
ROC,14576,Rochester,NY,Frederick Douglass Grtr Rochester International,Greater Rochester International Airport
ROW,14588,Roswell,NM,Roswell Air Center,Roswell International Air Center
RST,14633,Rochester,MN,Rochester International,Rochester International Airport
RSW,14635,Fort Myers,FL,Southwest Florida International,Southwest Florida International Airport
SAF,14674,Santa Fe,NM,Santa Fe Regional,Santa Fe Municipal Airport
SAN,14679,San Diego,CA,San Diego International,San Diego International Airport (Lindbergh Field)
SAT,14683,San Antonio,TX,San Antonio International,San Antonio International Airport
SAV,14685,Savannah,GA,Savannah/Hilton Head International,Savannah/Hilton Head International Airport
