Destination_Airport Origin_Airport  Distance 
TUS  	LAS  	365
IAH  	ANC  	3266
MCI  	IND  	451
MEI  	DFW  	485
DCA  	LGA  	214
ORD  	PHL  	678
SJC  	PDX  	569
MKE  	LAX  	1756
ORD  	DFW  	802
ITO  	HNL  	216
PHL  	MSY  	1089
BNA  	OAK  	1959
MAF  	HOU  	441
ONT  	SEA  	956
SAN  	BNA  	1751
LGA  	MDW  	725
CVG  	TPA  	773
CVG  	JFK  	589
SMF  	LGB  	387
LGA  	BTV  	258
IAD  	MCO  	758
OAK  	PHX  	646
AVP  	DTW  	399
CLE  	DEN  	1201
SFO  	PSP  	421
IAH  	OAK  	1628
SLC  	IAH  	1195
MCO  	SYR  	1053
BOS  	DTW  	632
EGE  	ATL  	1312
MCO  	ACY  	852
CID  	ATL  	694
PHX  	CMH  	1670
LBB  	DEN  	456
MKE  	RSW  	1183
DFW  	TYR  	102
DTW  	DAL  	981
PHL  	MYR  	473
ORD  	DBQ  	147
PBI  	ISP  	1052
CLT  	DFW  	936
PIT  	BOS  	496
DCA  	ATL  	547
PHX  	SLC  	507
HOU  	SEA  	1894
CHS  	IAH  	925
BUR  	SJC  	296
DEN  	ABQ  	349
SFO  	CVG  	2036
IND  	BWI  	516
MIA  	CLE  	1080
SAT  	LAS  	1069
BNA  	MSY  	471
SAT  	MDW  	1036
IAH  	LFT  	201
SNA  	SJC  	342
BZN  	SLC  	347
MEM  	CLT  	511
BOS  	PHL  	280
JAX  	EWR  	820
DFW  	SFO  	1464
MSY  	SAT  	494
STT  	CLT  	1520
HSV  	DFW  	603
DTW  	TVC  	207
SAN  	CLT  	2077
MSP  	IND  	503
FLL  	DFW  	1119
AUS  	SNA  	1209
RDU  	ORD  	646
ORD  	CAE  	667
RIC  	MCO  	667
DFW  	MYR  	1048
MSP  	SNA  	1522
SJC  	SLC  	584
JNU  	GST  	41
CLT  	ALB  	646
MSP  	DAY  	574
SEA  	PSP  	987
SCC  	ANC  	627
DSM  	PHX  	1149
PHL  	SAT  	1496
SBN  	ATL  	566
ATL  	RST  	831
FLL  	IAD  	901
KOA  	OGG  	84
MDW  	ICT  	589
BTV  	DTW  	537
MDW  	PDX  	1751
ORD  	DTW  	235
DAY  	DTW  	166
EWR  	RDU  	416
CRW  	ATL  	363
BNA  	ORD  	409
HNL  	PHX  	2917
SAV  	ORD  	773
DFW  	CRP  	354
FLL  	CMH  	973
SFO  	LIH  	2447
SAF  	DFW  	551
ORD  	GRB  	173
DFW  	RNO  	1345
SEA  	KOA  	2688
SFO  	MRY  	77
PDX  	FAT  	626
LAN  	MSP  	455
DFW  	MEM  	431
DFW  	DTW  	986
GSP  	EWR  	594
DEN  	JAX  	1447
DTW  	SAT  	1214
MCO  	DAL  	973
ORD  	ELM  	566
RSW  	STL  	979
KTN  	SEA  	680
STT  	BOS  	1693
MRY  	LAX  	266
BLI  	LAS  	954
GEG  	SEA  	224
JFK  	ORD  	740
DEN  	TUL  	541
EWR  	MHT  	209
DEN  	SJC  	948
MCI  	MCO  	1072
SLC  	VEL  	132
COS  	IAH  	809
PSP  	SFO  	421
EWR  	MDW  	711
SJU  	STT  	68
IAH  	CRP  	201
LAX  	CMH  	1995
DEN  	DSM  	589
RSW  	CVG  	879
TUS  	MSP  	1298
MSN  	DFW  	821
CLT  	SAT  	1095
ATL  	DAY  	432
DTW  	MCI  	629
MIA  	LGA  	1096
ORD  	LEX  	323
DCA  	BOS  	399
SEA  	OAK  	671
MDW  	IAD  	577
SAT  	SAN  	1129
SMF  	MSP  	1517
DTW  	PDX  	1953
FLL  	JFK  	1069
ATL  	ICT  	782
LAS  	ELP  	583
EWR  	SAN  	2425
JNU  	SIT  	95
MTJ  	ATL  	1352
CLD  	LAX  	86
RDU  	TPA  	587
FAY  	ATL  	331
FLL  	MDW  	1166
ITO  	LAX  	2449
DCA  	LAS  	2089
TVC  	ORD  	224
ATL  	ORD  	606
ATL  	GRB  	774
SAT  	SEA  	1774
TPA  	MDW  	997
ATL  	ILM  	377
BOS  	MCO  	1121
ATL  	MYR  	317
DTW  	LGA  	502
SJU  	DFW  	2165
SNA  	ATL  	1919
MSP  	MIA  	1501
ATL  	DFW  	731
DCA  	FLL  	899
DEN  	DIK  	488
MCO  	CMH  	802
SLC  	DEN  	391
SEA  	ABQ  	1180
PHX  	FLG  	119
CLT  	SJU  	1475
OKC  	BWI  	1180
MIA  	CHS  	489
DCA  	MSY  	969
SMF  	DFW  	1431
FAT  	SEA  	748
BOI  	LAS  	519
TUS  	ATL  	1541
SAN  	TUS  	368
DCA  	BNA  	562
SFO  	MSY  	1911
TTN  	UST  	801
DEN  	TUS  	639
EWR  	LAS  	2227
BDL  	ATL  	859
VPS  	DFW  	641
MLI  	DEN  	752
LGA  	PBI  	1035
HLN  	DEN  	594
STL  	PHX  	1262
ELP  	LAS  	583
SAT  	MSP  	1097
DAL  	MKE  	850
BUF  	LAS  	1986
OGG  	HNL  	100
ORD  	RAP  	779
ATL  	CAE  	192
SEA  	DAL  	1670
GRR  	DTW  	120
DFW  	COS  	592
IAD  	MDW  	577
LAS  	DEN  	628
BOS  	DFW  	1562
DTW  	TYS  	443
ANC  	DFW  	3043
MSY  	OAK  	1903
SBA  	SEA  	908
MDW  	SDF  	271
DAL  	PDX  	1626
BHM  	DFW  	597
PDX  	KOA  	2607
SEA  	ANC  	1448
BNA  	PNS  	391
IAH  	MCO  	854
IAD  	PHX  	1956
EWR  	GSO  	445
FLL  	CLT  	632
OAK  	SNA  	371
MSP  	ASE  	802
EWR  	RIC  	277
ORH  	FLL  	1211
DTW  	MLI  	373
TUL  	DEN  	541
PHX  	DRO  	351
SNA  	EWR  	2434
SLC  	LAS  	368
ORD  	SAT  	1041
AMA  	DAL  	323
EWR  	MSN  	799
MSP  	LGA  	1020
SAT  	HOU  	192
SEA  	JFK  	2422
FLL  	JAX  	319
ATL  	PBI  	545
BDL  	BWI  	283
BOS  	PHX  	2300
BRW  	ANC  	725
LAX  	BZN  	902
TYS  	ATL  	152
STL  	DTW  	440
SFO  	PDX  	550
PIT  	DTW  	201
MLI  	ATL  	633
BOS  	IND  	818
IAH  	SNA  	1346
CMH  	IAH  	986
PVD  	EWR  	160
CLE  	BOS  	563
EWR  	AVP  	93
DEN  	BOS  	1754
MCO  	LAS  	2039
EWR  	CHS  	628
LGB  	JFK  	2465
ORD  	TOL  	213
ORD  	PSP  	1652
IAH  	GSP  	837
ASE  	ORD  	1013
LGA  	BUF  	292
ONT  	MDW  	1706
SRQ  	ORD  	1050
MSP  	DLH  	144
JFK  	ROC  	264
SYR  	LGA  	198
MDW  	BDL  	777
TTN  	MSP  	989
CMH  	MIA  	990
CAK  	EWR  	382
DCA  	SJU  	1554
DEN  	PIT  	1290
BWI  	DTW  	409
MSO  	SFO  	769
SNA  	AUS  	1209
PHX  	MSP  	1276
DEN  	AUS  	775
ATL  	ASE  	1304
DEN  	LNK  	423
FWA  	ATL  	508
SJU  	HOU  	1997
FLL  	BNA  	793
LAS  	MSY  	1500
BOS  	SEA  	2496
LAX  	CLD  	86
OMA  	LGA  	1148
EWR  	LAX  	2454
PIT  	HOU  	1131
EGE  	EWR  	1725
ACY  	ORD  	720
CLE  	LAX  	2052
BET  	ANC  	399
ABQ  	MSP  	981
RSW  	ORD  	1120
MIA  	SFO  	2585
SEA  	SLC  	689
MSP  	TVC  	376
DEN  	ONT  	819
LAS  	SJC  	386
DEN  	HLN  	594
RSW  	BOS  	1249
ORD  	SYR  	607
SNA  	SMF  	404
ILG  	TPA  	899
MCI  	PDX  	1482
ANC  	PDX  	1542
BWI  	FNT  	452
DEN  	LIT  	771
RSW  	DTW  	1084
DCA  	MKE  	634
ROC  	BWI  	277
RSW  	LBE  	956
SJC  	ORD  	1829
IAD  	PIT  	182
IAH  	SFO  	1635
MSP  	ORD  	334
PHX  	CLT  	1773
AUS  	DCA  	1315
MCO  	PIT  	834
AVP  	ATL  	714
MSY  	DFW  	447
LAS  	LGB  	231
EWR  	TPA  	997
TUS  	HOU  	945
DAL  	MSY  	436
LAX  	DCA  	2311
PHL  	PHX  	2075
FLL  	ORD  	1182
PDX  	HNL  	2603
LGA  	MCI  	1107
JAX  	MDW  	849
TTN  	ATL  	701
OKC  	EWR  	1325
ALB  	CLT  	646
MCI  	LAX  	1363
RKS  	DEN  	260
MIA  	PHX  	1972
ORD  	JAC  	1162
BWI  	SJU  	1565
BOS  	IAD  	413
DFW  	MGM  	622
HPN  	ATL  	780
AVL  	ATL  	164
MCO  	GRR  	1024
JAX  	IAD  	630
HSV  	DTW  	554
SFO  	LAS  	414
SEA  	OMA  	1368
MHT  	ORD  	843
HOU  	BHM  	570
EWR  	JAX  	820
STL  	PDX  	1708
ICT  	DEN  	420
MIA  	JFK  	1089
DAY  	DEN  	1085
MFR  	DEN  	964
RSW  	GRR  	1147
HNL  	ATL  	4502
PHX  	SMF  	647
PDX  	DEN  	991
PVD  	BWI  	327
SEA  	TPA  	2520
BOI  	PDX  	344
EKO  	SLC  	200
DFW  	MLI  	691
FLL  	IAH  	965
ANC  	FAI  	261
DFW  	OMA  	583
PDX  	DCA  	2350
SLC  	IND  	1355
ONT  	PDX  	838
PIT  	IAD  	182
FAT  	SFO  	158
JAX  	BOS  	1010
PIT  	SFO  	2254
EWR  	IAH  	1400
DFW  	TUL  	237
MSY  	LAX  	1670
AUS  	BOS  	1698
EWR  	ORD  	719
PHX  	LAX  	370
PHX  	FAT  	493
PIT  	LAS  	1910
TUL  	ATL  	674
ORD  	ABE  	655
MEM  	TPA  	655
DCA  	SFO  	2442
ANC  	OGG  	2797
MCO  	MDW  	990
ELP  	IAH  	667
DFW  	TUS  	813
ATL  	DHN  	170
HNL  	PPG  	2599
BOS  	MKE  	860
FLL  	PHL  	992
SFO  	BZN  	807
ELP  	HOU  	677
BDL  	MCO  	1050
ORD  	ERI  	398
ELP  	DAL  	562
BGR  	DTW  	750
BRO  	IAH  	308
ABQ  	SLC  	493
ADQ  	ANC  	253
PIT  	BNA  	462
JFK  	OAK  	2576
SFO  	LGB  	354
MCI  	STL  	237
CVG  	MEM  	403
DTW  	GSP  	508
ABQ  	LAS  	486
TUS  	DFW  	813
SLC  	MCO  	1931
SAN  	DTW  	1956
BNA  	MIA  	806
ATL  	PHL  	666
IAH  	LAX  	1379
AUS  	LAS  	1090
ECP  	ATL  	240
XNA  	DFW  	280
DEN  	FCA  	752
CDC  	SLC  	221
MSP  	BIS  	386
CLT  	SEA  	2279
RDU  	ATL  	356
LAX  	DFW  	1235
SAT  	DFW  	247
DFW  	CAE  	922
ORD  	MCO  	1005
PHL  	TPA  	920
ICT  	DFW  	328
PDX  	SMF  	479
DCA  	STL  	719
PHL  	MDW  	668
PHL  	STL  	814
ONT  	SFO  	363
CLE  	MCO  	895
LAS  	SNA  	226
AUS  	OAK  	1497
LGA  	BOS  	184
RSW  	HPN  	1102
MCO  	ISP  	971
ORD  	MHK  	501
FSD  	DEN  	483
JFK  	CLT  	541
LIT  	DTW  	705
CLT  	EWR  	529
SCC  	BRW  	204
KOA  	PHX  	2860
SJU  	ORD  	2072
JAN  	DFW  	408
FAT  	PHX  	493
TPA  	BHM  	459
MIA  	STL  	1068
TPA  	LBE  	866
IAH  	PBI  	956
SLC  	CDC  	221
LAS  	MCI  	1139
DTW  	CLE  	95
LIH  	HNL  	102
LIT  	LAS  	1294
DTW  	STL  	440
DTW  	APN  	198
BUF  	MSP  	735
HSV  	DCA  	613
MSP  	FNT  	491
SLC  	BIL  	387
MCI  	EWR  	1092
IAH  	AEX  	190
MIA  	SAT  	1143
TPA  	FLL  	197
IND  	TPA  	837
BTV  	JFK  	266
PHX  	EWR  	2133
OAK  	HOU  	1642
MHK  	DFW  	431
GGG  	DFW  	140
OGG  	LAX  	2486
AVL  	ORD  	536
EWR  	SAV  	708
ACY  	TPA  	913
AUS  	HOU  	148
ATL  	BQK  	238
ATL  	MIA  	594
MIA  	TLH  	402
IND  	LAX  	1814
SYR  	JFK  	209
ANC  	OTZ  	548
SEA  	STL  	1709
DCA  	RDU  	227
ROC  	DTW  	296
PBI  	PHL  	951
RDU  	CLT  	130
IAD  	TPA  	811
MDW  	CMH  	283
MBS  	MSP  	463
DTW  	ESC  	306
JFK  	RNO  	2411
PHX  	JFK  	2153
DCA  	CAK  	274
SDF  	MDW  	271
RNO  	LAX  	391
GTF  	MSP  	887
ORD  	EVV  	273
DTW  	BTV  	537
IAH  	CLL  	74
MSY  	DAL  	436
MSP  	LAS  	1299
MIA  	ORF  	802
IAH  	IND  	844
ATL  	TPA  	406
EWR  	SLC  	1969
SPI  	ORD  	174
BNA  	ATL  	214
TPA  	DEN  	1506
SEA  	ONT  	956
IND  	DAL  	755
MCI  	OAK  	1489
RSW  	ATL  	515
ATL  	SBN  	566
MDW  	RDU  	632
LAX  	FAT  	209
PVD  	MDW  	842
FAI  	ANC  	261
BTV  	ATL  	961
ATL  	AVP  	714
CHS  	ORD  	760
MIA  	DEN  	1709
SHV  	DFW  	190
SAN  	DEN  	853
INL  	HIB  	86
DAL  	SAT  	248
MSP  	MDW  	349
CAK  	LGA  	397
HOU  	SAT  	192
MSP  	PIT  	726
ICT  	IAH  	542
ATW  	MSP  	236
MSP  	AZO  	426
HOU  	RDU  	1050
DFW  	AMA  	312
LGA  	ROC  	254
PSC  	MSP  	1254
DEN  	SNA  	846
GSO  	DEN  	1370
MSP  	TUL  	615
PDX  	BOS  	2537
SUN  	DEN  	557
DFW  	TPA  	929
PHX  	OAK  	646
DAY  	ATL  	432
EWR  	STT  	1634
IAD  	JFK  	228
PHL  	MSP  	980
JAN  	ORD  	677
SLC  	RKS  	162
MSP  	RST  	76
ORD  	BOI  	1437
LAN  	DTW  	74
CHS  	DFW  	987
DFW  	SDF  	733
BOS  	IAH  	1597
DAL  	RDU  	1052
SAN  	SJC  	417
DEN  	MEM  	872
ANC  	SFO  	2018
SAN  	ORD  	1723
ATL  	GSP  	153
ORD  	ALB  	723
PIT  	ORD  	413
SAT  	IAH  	191
OMA  	LAS  	1099
BFL  	DEN  	845
CLE  	STL  	487
FSM  	DFW  	227
SDF  	DEN  	1024
RSW  	BNA  	722
LAX  	ABQ  	677
MEM  	CVG  	403
SDF  	LGA  	659
SLC  	PSC  	521
PWM  	CLT  	813
MOB  	ORD  	779
SLC  	MCI  	920
FLL  	IND  	1005
DAL  	OKC  	181
MKE  	DCA  	634
JFK  	SJC  	2569
DSM  	DEN  	589
BWI  	ECP  	798
MIA  	MSY  	675
SAN  	DAL  	1182
GUC  	DFW  	678
SAN  	RNO  	488
BWI  	PIT  	210
PIT  	RSW  	966
PDX  	SAN  	933
BOS  	ACY  	274
BUF  	ATL  	712
OMA  	STL  	342
SJU  	STX  	94
LIT  	ATL  	453
PDX  	OGG  	2562
OAK  	LIH  	2457
RSW  	PHL  	993
PHX  	SBA  	455
SFO  	BWI  	2457
ORD  	RSW  	1120
CLE  	CLT  	430
AUS  	ORD  	978
ORD  	DEN  	888
SLC  	PHL  	1927
SFO  	SMF  	86
HOU  	JAX  	816
MDW  	PHL  	668
ORD  	SNA  	1726
AUS  	SJC  	1476
BWI  	MKE  	641
PBI  	HPN  	1056
MSY  	IAD  	955
SIT  	JNU  	95
SAT  	SFO  	1482
MCO  	SFO  	2446
DFW  	JAN  	408
STL  	SAT  	786
LAX  	MSY  	1670
FLL  	BOS  	1237
OMA  	EWR  	1134
ORD  	HSV  	510
ATL  	IND  	432
SAN  	SAT  	1129
ONT  	SJC  	333
IAH  	HNL  	3904
LGA  	OMA  	1148
BNA  	BOS  	942
SMF  	PDX  	479
ALB  	MSP  	980
PIT  	CLT  	366
HPN  	PBI  	1056
MDW  	TUS  	1440
YUM  	PHX  	160
HOU  	MCO  	849
IAH  	CHS  	925
BHM  	BWI  	682
SAF  	LAX  	710
BNA  	MDW  	395
ORF  	BWI  	159
ATL  	LIT  	453
SEA  	DFW  	1660
FNT  	TPA  	1036
STL  	TUL  	351
LBE  	LAS  	1954
SAT  	SLC  	1087
MDT  	MCO  	851
LGB  	PDX  	846
BOS  	SAN  	2588
MSY  	LAS  	1500
MHT  	ATL  	952
IAH  	SDF  	788
ORD  	FSD  	462
JFK  	ACK  	199
OAK  	BOS  	2694
ATL  	ECP  	240
CHS  	FLL  	470
SLC  	SNA  	588
ABQ  	MCO  	1553
TPA  	ISP  	1034
CHO  	ORD  	567
PVD  	FLL  	1188
ACY  	MCO  	852
TTN  	TPA  	955
IAH  	RIC  	1157
DEN  	JMS  	573
CMH  	LAX  	1995
MDW  	EWR  	711
MCI  	FLL  	1242
MYR  	DTW  	636
STL  	ECP  	634
JFK  	CHS  	636
DEN  	FLL  	1703
BOI  	MDW  	1448
SLC  	RAP  	508
RDU  	DCA  	227
TUS  	PDX  	1119
HOU  	CRP  	187
DAL  	STL  	546
CVG  	MKE  	318
PHX  	GJT  	438
CLT  	LAX  	2125
EUG  	SFO  	451
CMH  	RSW  	930
SEA  	LGB  	965
SAT  	CLT  	1095
DEN  	CID  	692
ABQ  	BWI  	1670
DEN  	SBA  	916
ALB  	FLL  	1204
ATL  	JAX  	270
BHM  	MDW  	570
STL  	PHL  	814
PHL  	PVD  	237
PSG  	JNU  	123
ATL  	STX  	1638
ONT  	SMF  	390
SAN  	IAD  	2253
ORD  	ANC  	2846
DEN  	HSV  	1048
PSE  	JFK  	1617
RDU  	PHX  	1891
BWI  	HOU  	1246
FLL  	ALB  	1204
JFK  	HYA  	196
DFW  	FLL  	1119
MDW  	SAN  	1728
PHX  	PDX  	1009
MCI  	IAH  	643
LGB  	SEA  	965
LAS  	GEG  	806
MCO  	CLE  	895
CLT  	BDL  	644
HOU  	TUS  	945
DEN  	MSO  	679
HNL  	IAH  	3904
OKC  	DTW  	900
SFO  	IND  	1943
LAX  	HNL  	2556
RAP  	DEN  	300
CAE  	ORD  	667
HNL  	SMF  	2462
CLT  	MDT  	413
PIB  	MEI  	69
FLL  	ISP  	1092
HOU  	SJU  	1997
BOS  	CLE  	563
MSP  	ANC  	2519
JFK  	BNA  	765
IAD  	TUL  	1027
ANC  	LAS  	2304
ATL  	LAX  	1947
ORD  	RIC  	642
PWM  	ATL  	1027
DTW  	MSY  	926
MDW  	DEN  	895
SAT  	ORD  	1041
SEA  	BZN  	543
AUS  	IAH  	140
MSP  	ROC  	783
MRY  	PHX  	598
DSM  	DFW  	624
DFW  	BDL  	1471
ORD  	FNT  	223
ORD  	LGA  	733
MIA  	STT  	1107
CLT  	DEN  	1337
GRR  	STL  	382
DEN  	SDF  	1024
MDW  	OMA  	423
DTW  	GRB  	287
CVG  	EWR  	569
STL  	IAD  	696
PHX  	DFW  	868
LAX  	SJC  	308
PHX  	DEN  	602
DCA  	CMH  	323
ATL  	XNA  	589
SAT  	EWR  	1569
DTW  	DSM  	533
TPA  	DAY  	828
DEN  	SFO  	967
DTW  	GSO  	460
JFK  	SMF  	2521
ATL  	SAV  	214
STT  	PHL  	1605
CLT  	SLC  	1727
MSY  	BWI  	998
PBI  	ACY  	936
RNO  	SAN  	488
DEN  	IAH  	862
HSV  	IAH  	595
MLB  	ATL  	442
ROW  	DFW  	435
DFW  	COU  	489
TXK  	DFW  	181
LAX  	COS  	833
DAL  	LBB  	293
SAN  	SEA  	1050
RSW  	IND  	945
IAD  	ROC  	288
BWI  	MSY  	998
DEN  	GSO  	1370
HPN  	DTW  	505
TUS  	SFO  	751
SMF  	CLT  	2244
STL  	BOS  	1047
OKC  	DFW  	175
DTW  	BWI  	409
ORD  	HNL  	4243
DFW  	CLL  	164
LGA  	CLE  	419
DCA  	CVG  	411
CLT  	MSP  	930
BTM  	SLC  	358
MHT  	MDW  	838
IND  	JFK  	665
MIA  	JAX  	335
SJU  	TPA  	1237
ATL  	MCI  	692
MIA  	CMH  	990
CVG  	XNA  	562
MIA  	GSO  	710
MKE  	IAH  	984
MCO  	BUF  	1011
BWI  	DEN  	1491
TUS  	SLC  	601
IAD  	LGA  	229
AEX  	ATL  	500
BJI  	MSP  	199
XNA  	SFO  	1550
LAS  	DCA  	2089
DEN  	BDL  	1671
IAH  	BRO  	308
LAX  	SAF  	710
SLC  	GJT  	216
PSC  	DEN  	852
SLC  	GCC  	410
SBP  	SFO  	190
GPT  	IAH  	376
ATL  	MSP  	907
LAX  	EWR  	2454
EUG  	SLC  	618
LAS  	SLC  	368
MCI  	BOS  	1256
DFW  	IAD  	1172
SLC  	SGU  	272
IAD  	AUS  	1297
FWA  	MSP  	488
DCA  	SYR  	298
RDU  	BWI  	255
MSP  	SEA  	1399
MAF  	DFW  	309
ATL  	SCE  	615
LAS  	CLT  	1916
ATL  	MOB  	302
CHO  	ATL  	457
ANC  	LAX  	2345
BUF  	EWR  	282
MCO  	BDL  	1050
MSP  	FCA  	1026
LAS  	LAX  	236
SMF  	ORD  	1781
PHX  	SJC  	621
ANC  	MSP  	2519
EWR  	MIA  	1085
PHX  	YUM  	160
BNA  	PIT  	462
BWI  	ORD  	622
HPN  	TPA  	1032
HPN  	MCO  	972
LFT  	IAH  	201
DTW  	MBS  	98
DEN  	ASE  	125
JAX  	CLT  	328
ORF  	MSP  	1045
IAH  	DTW  	1075
CHS  	JFK  	636
LGA  	BHM  	866
ANC  	SLC  	2125
RDU  	SEA  	2354
ORD  	MOB  	779
CID  	ORD  	196
GRR  	DFW  	931
BOI  	SAN  	749
CAK  	BOS  	549
PHL  	LAS  	2176
MCO  	FNT  	1011
ORD  	LIT  	552
ABQ  	PDX  	1111
IAD  	CAE  	401
LGA  	RSW  	1080
STL  	LGA  	888
ORD  	IAH  	925
MDW  	SAT  	1036
ATL  	PIA  	565
EVV  	ORD  	272
IAD  	RDU  	224
HOU  	MSY  	302
PIT  	MCO  	834
TPA  	BNA  	612
OAK  	PDX  	543
SJC  	ONT  	333
EAU  	ORD  	268
TPA  	IAD  	811
BMI  	DTW  	313
SDF  	ORD  	287
LGA  	ORD  	733
ATL  	LNK  	841
JFK  	SAN  	2446
DCA  	LAX  	2311
ANC  	HNL  	2777
ECP  	HOU  	571
STL  	FLL  	1056
FLL  	BUF  	1166
BWI  	DAL  	1209
HOU  	GSP  	845
PWM  	BWI  	452
SEA  	FLL  	2717
IAH  	HRL  	295
CLE  	MKE  	328
ORD  	CLE  	316
RDU  	JFK  	427
PBI  	DFW  	1102
LAX  	DTW  	1979
MCO  	MSY  	551
BWI  	SFO  	2457
PHL  	MIA  	1013
IAH  	CMH  	986
MYR  	BOS  	738
ATL  	PHX  	1587
ATL  	AGS  	143
FNT  	ORD  	223
DCA  	CLE  	310
LAS  	BUF  	1986
